date,sentiment,post_count
2009-01-03,0.50157654,1
2009-01-06,0.47430277,1
2009-01-14,0.4935949,1
2009-01-16,0.48417005,5
2009-01-17,0.523984,1
2009-01-20,0.49568343,1
2009-01-21,0.49877387,4
2009-01-26,0.5152312,1
2009-01-27,0.5135261,2
2009-01-28,0.4872005,2
2009-01-30,0.5075392,3
2009-02-04,0.48647514,1
2009-02-09,0.4710243,1
2009-02-10,0.5087865,1
2009-02-11,0.49436897,2
2009-02-19,0.5315288,2
2009-02-20,0.48873034,1
2009-02-24,0.51737905,2
2009-02-25,0.5044331,1
2009-02-26,0.48336366,2
2009-02-27,0.4691462,1
2009-03-02,0.5012087,1
2009-03-03,0.48794708,1
2009-03-06,0.4867715,1
2009-03-07,0.5006045,1
2009-03-08,0.50035733,1
2009-03-10,0.5233397,2
2009-03-11,0.46750036,1
2009-03-13,0.52379924,1
2009-03-14,0.51558304,1
2009-03-16,0.49381903,4
2009-03-18,0.5000303,2
2009-03-19,0.4945101,2
2009-03-22,0.5231464,1
2009-03-23,0.5034903,1
2009-03-25,0.51707023,1
2009-03-26,0.5020299,1
2009-04-01,0.5012322,2
2009-04-08,0.5244452,1
2009-04-14,0.48562685,3
2009-04-16,0.5134978,1
2009-04-17,0.5009118,2
2009-04-19,0.51467,2
2009-04-21,0.5135441,1
2009-04-22,0.49034736,3
2009-04-24,0.49126205,1
2009-04-27,0.5094772,1
2009-04-28,0.5299812,1
2009-04-29,0.5169729,1
2009-04-30,0.51499856,1
2009-05-04,0.5138123,3
2009-05-05,0.507365,1
2009-05-07,0.4941706,2
2009-05-08,0.5037535,1
2009-05-11,0.5062518,1
2009-05-13,0.48115313,2
2009-05-18,0.50943905,3
2009-05-20,0.5169445,1
2009-05-22,0.5140219,2
2009-05-23,0.49125,1
2009-05-26,0.494282,2
2009-06-01,0.51809007,4
2009-06-02,0.4768002,1
2009-06-03,0.49271503,1
2009-06-04,0.4940631,1
2009-06-08,0.52577436,1
2009-06-11,0.5247364,1
2009-06-12,0.4491645,1
2009-06-14,0.5082622,1
2009-06-15,0.50789577,1
2009-06-16,0.51914084,2
2009-06-18,0.5121077,2
2009-06-22,0.51853967,4
2009-06-25,0.54040134,1
2009-06-26,0.50585,2
2009-06-30,0.5094954,2
2009-07-01,0.5188802,1
2009-07-03,0.5135959,5
2009-07-04,0.5227956,1
2009-07-05,0.51137394,1
2009-07-06,0.47987208,1
2009-07-07,0.5043231,1
2009-07-09,0.50172997,1
2009-07-15,0.48587582,1
2009-07-16,0.50667214,2
2009-07-17,0.5006689,1
2009-07-20,0.52597153,1
2009-07-22,0.51294535,1
2009-07-27,0.5210697,5
2009-07-28,0.5001659,1
2009-08-03,0.5205623,1
2009-08-06,0.5026182,1
2009-08-14,0.52890515,1
2009-08-17,0.4530721,1
2009-08-20,0.505407,1
2009-08-28,0.5026511,4
2009-08-30,0.4768808,1
2009-08-31,0.518512,2
2009-09-03,0.50478625,1
2009-09-04,0.52023417,1
2009-09-08,0.5064515,1
2009-09-10,0.51611334,3
2009-09-14,0.48218682,1
2009-09-16,0.49181587,4
2009-09-18,0.51621443,1
2009-09-21,0.51750517,1
2009-09-29,0.5116474,1
2009-10-06,0.5245813,1
2009-10-14,0.48818052,2
2009-10-17,0.52849257,1
2009-10-18,0.4966315,1
2009-10-19,0.506247,1
2009-10-20,0.50797254,1
2009-10-21,0.4928558,2
2009-10-23,0.49964702,1
2009-10-25,0.5140914,1
2009-10-27,0.50236976,2
2009-11-08,0.5308391,2
2009-11-09,0.49335477,2
2009-11-13,0.49869046,3
2009-11-20,0.5213829,1
2009-11-23,0.51665395,1
2009-11-25,0.51897347,1
2009-11-26,0.4918077,2
2009-12-01,0.5168016,1
2009-12-02,0.48993823,2
2009-12-16,0.4730438,1
2009-12-17,0.5369946,1
2009-12-18,0.5183867,1
2009-12-21,0.5153513,2
2009-12-28,0.5059154,2
